# h_T	h_S	T	S	T_err	S_err
1.000000014901161194e-01	1.000000014901161194e-01	-4.170627593994140625e-01	-4.297806918621063232e-01	2.738168835639953613e-02	1.466375589370727539e-02
9.999999776482582092e-03	9.999999776482582092e-03	-4.431178867816925049e-01	-4.437938332557678223e-01	1.326560974121093750e-03	6.506145000457763672e-04
1.001000986434519291e-03	1.000000047497451305e-03	-4.443871378898620605e-01	-4.444180130958557129e-01	5.730986595153808594e-05	2.643465995788574219e-05
9.999999747378751636e-05	9.999999747378751636e-05	-4.444414079189300537e-01	-4.444437921047210693e-01	3.039836883544921875e-06	6.556510925292968750e-07
9.999999747378751636e-06	9.999999747378751636e-06	-4.444400370121002197e-01	-4.444375038146972656e-01	4.410743713378906250e-06	6.943941116333007812e-06
9.999999974752427079e-07	9.999999974752427079e-07	-4.444606900215148926e-01	-4.443560540676116943e-01	1.624226570129394531e-05	8.839368820190429688e-05
1.000000011686097423e-07	1.000000011686097423e-07	-4.194304049015045166e-01	-4.211846292018890381e-01	2.501404285430908203e-02	2.325981855392456055e-02
