# h_T	h_S	T	S	T_err	S_err
1.000000000000000056e-01	1.000000000000000056e-01	-4.170628049248560898e-01	-4.164535620758221812e-01	2.738163951958832998e-02	2.799088236862223855e-02
1.000000000000000021e-02	1.000000000000000021e-02	-4.431179053226958486e-01	-4.436604655289776988e-01	1.326539121748571137e-03	7.839789154667209381e-04
1.000000000000000021e-03	1.000000000000000021e-03	-4.443875387286160827e-01	-4.444166244852364445e-01	5.690571582833703346e-05	2.781995920797530886e-05
1.000000000000000048e-04	1.000000000000000048e-04	-4.444421680538830910e-01	-4.444434065959614877e-01	2.276390561328778261e-06	1.037848482932091088e-06
1.000010000100000983e-05	1.000000000000000082e-05	-4.444399128948081090e-01	-4.444444060017067044e-01	4.531549636310749918e-06	3.844273771536066420e-08
9.999999999999999547e-07	9.999999999999999547e-07	-4.444444412114471610e-01	-4.444444430447350158e-01	3.232997258795222706e-09	1.399709403937521301e-09
9.999999999999999547e-08	9.999999999999999547e-08	-4.444444443270281764e-01	-4.444444443943511569e-01	1.174162433947856243e-10	5.009326287108706310e-11
